,0
0,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0000&r=$TIMESTAMP
1,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0005&r=$TIMESTAMP
2,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0001&r=$TIMESTAMP
3,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0006&r=$TIMESTAMP
4,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0002&r=$TIMESTAMP
5,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0007&r=$TIMESTAMP
6,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0003&r=$TIMESTAMP
7,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0008&r=$TIMESTAMP
8,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0004&r=$TIMESTAMP
9,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47120&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc0009&r=$TIMESTAMP
10,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc000&r=$TIMESTAMP
11,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc001&r=$TIMESTAMP
12,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc002&r=$TIMESTAMP
13,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc003&r=$TIMESTAMP
14,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc004&r=$TIMESTAMP
15,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc005&r=$TIMESTAMP
16,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc006&r=$TIMESTAMP
17,https://secure-gl.imrworldwide.com/cgi-bin/m?ca=nlsn47790&cr=crtve&ce=mediamond&ci=nlsnci1388&am=3&at=view&rt=banner&st=image&pc=mediamond_plc007&r=$TIMESTAMP
