Rai1
Rai2
Rai3
Tot. R1+R2+R3
Rai 4
Altre Rai
Tot. Rai
Canale5
Italia1
Rete4
C5+I1+R4
Boing
Cartoonito
Iris
La 5
Italia 2
Top Crime
Mediaset Extra
TGCom24
Pr.Calcio/Sport
Tot. Mediaset
La7
Altre Tv Free
Bouquet Sky
Pay Sat e Dtt
Resto
Totale Ascolto
Tot. La7
Tot. Sky
Tot. Fox
Tot. Discovery
TOT. LT MULTIMEDIA
Tot. Disney
Tot. VIACOM - MTV
Tot. DIGICAST
Tot. TURNER
Tot. DE AGOSTINI
Tot. ROCK TV
Tot. Elemedia
Tot. Eurosport
Tot. Axn
Tot. A+E Television
am - rai1
%sh – rai1
%pe – rai1
co – rai1
pr – rai1
am – rai2
%sh – rai2
%pe – rai2
co – rai2
pr – rai2
am – rai3
%sh – rai3
%pe – rai3
co – rai3
pr – rai3
am – rai123
%sh – rai123
%pe – rai123
co – rai123
pr – rai123
am – rai4
%sh – rai4
%pe – rai4
co – rai4
pr – rai4
am – rai_altre
%sh – rai_altre
%pe – rai_altre
co – rai_altre
pr – rai_altre
am – rai_tot
%sh – rai_tot
%pe – rai_tot
co – rai_tot
pr – rai_tot
am – c5
%sh – c5
%pe – c5
co – c5
pr – c5
am – i1
%sh – i1
%pe – i1
co – i1
pr – i1
am – r4
%sh – r4
%pe – r4
co – r4
pr – r4
am – c5+i1+r4
%sh – c5+i1+r4
%pe – c5+i1+r4
co – c5+i1+r4
pr – c5+i1+r4
am – boing
%sh – boing
%pe – boing
co – boing
pr – boing
am – cartoonito
%sh –  cartoonito
%pe – cartoonito
co – cartoonito
pr – cartoonito
am – iris
%sh – iris
%pe – iris
co – iris
pr – iris
am – la5
%sh – la5
%pe – la5
co – la5
pr – la5
am – top crime
%sh – top crime
%pe – top crime
co – top crime
pr – top crime
am – mediaset extra
%sh – mediaset extra
%pe – mediaset extra
co – mediaset extra
pr – mediaset extra
am – mediaset extra
%sh – mediaset extra
%pe – mediaset extra
co – mediaset extra
pr – mediaset extra
am – pr.Calcio/Sport
%sh – pr.Calcio/Sport
%pe – pr.Calcio/Sport
co – pr.Calcio/Sport
pr – pr.Calcio/Sport
am – Tot Mediaset
%sh – Tot Mediaset
%pe – Tot Mediaset
co – Tot Mediaset
pr – Tot Mediaset
am – La7
%sh – La7
%pe – La7
co – La7
pr – La7
am – Altre tv free
%sh – Altre tv free
%pe – Altre tv free
co – Altre tv free
pr – Altre tv free
am – bouquet Sky
%sh – bouquet Sky
%pe – bouquet Sky
co – bouquet Sky
pr – bouquet Sky
am – Pay Sat e Dtt
%sh – Pay Sat e Dtt
%pe – Pay Sat e Dtt
co – Pay Sat e Dtt
pr – Pay Sat e Dtt
am – Resto
%sh –  Resto
%pe –  Resto
co –  Resto
pr –  Resto
am – Totale Ascolto
%sh – Totale Ascolto
%pe – Totale Ascolto
co – Totale Ascolto
pr – Totale Ascolto
am – Tot. La7
%sh – Tot. La7
%pe – Tot. La7
co – Tot. La7
pr – Tot. La7
am – Tot. sky
%sh – Tot. sky
%pe – Tot. sky
co – Tot. sky
pr – Tot. sky
am – Tot. Discovery
%sh – Tot. Discovery
%pe – Tot. Discovery
co – Tot. Discovery
pr – Tot. Discovery
am – Tot LT Multimedia
%sh – Tot LT Multimedia
%pe – Tot LT Multimedia
co – Tot LT Multimedia
pr – Tot LT Multimedia
am – Tot Disney
%sh – Tot Disney
%pe – Tot Disney
co – Tot Disney
pr – Tot Disney
am – Tot Viacom – mtv
%sh – Tot Viacom – mtv
%pe – Tot Viacom – mtv
co – Tot Viacom – mtv
pr – Tot Viacom – mtv
am – tot digicast
%sh –  tot digicast
%pe –  tot digicast
co –  tot digicast
pr –  tot digicast
am – tot turner
%sh –  tot turner
%pe –  tot turner
co –  tot turner
pr –  tot turner
am – tot de agostini
%sh – tot de agostini
%pe – tot de agostini
co – tot de agostini
pr – tot de agostini
